1873,44,23
527,20,12
174,31,19
721,47,27
415,36,26
238,33,20
1473,23,11
1336,42,25
1064,37,22
24,23,18
1767,22,11
64,23,14
290,33,12
189,34,19
702,32,15
1815,34,19
1138,39,23
355,32,13
417,38,24
1246,31,18
931,36,23
197,36,23
580,22,18
1135,33,22
1814,38,22
1935,28,16
434,21,12
101,28,17
1655,45,25
395,28,13
1939,30,18
221,43,26
1676,30,14
1498,26,13
1785,37,16
345,36,19
1028,32,22
889,22,9
1351,29,20
553,30,16
744,34,20
1542,38,18
539,19,8
907,41,21
1395,37,18
116,30,22
830,33,21
1938,29,18
809,28,16
1311,30,21
1005,37,19
306,28,16
1101,32,23
480,24,18
1424,35,16
1076,29,18
571,20,10
619,26,17
1898,27,17
1266,37,16
79,35,23
1912,28,20
33,21,12
1538,34,11
1034,34,20
1563,37,19
352,32,13
164,35,18
204,31,15
1054,31,15
1365,30,21
1967,30,18
496,24,17
1625,34,16
1966,30,15
1963,26,14
611,27,14
433,25,13
1492,29,17
219,29,18
1931,28,15
1466,34,22
631,21,10
1382,31,19
1302,29,19
60,16,5
299,35,20
1711,33,22
74,42,24
163,36,22
1275,33,20
1594,29,19
1434,38,28
1613,47,21
592,25,13
317,41,19
46,22,12
1720,43,27
1832,35,19
428,36,24
582,23,15
77,37,21
1917,30,18
1415,23,13
781,29,15
1920,32,16
1174,44,26
1320,28,19
938,31,21
31,23,15
1092,29,19
1616,41,25
1230,30,18
975,35,19
1085,32,18
515,25,15
1551,41,20
1568,37,15
1811,41,22
1574,38,23
45,24,15
1687,30,15
169,38,26
304,22,9
991,46,30
556,22,12
1925,29,17
608,25,14
1619,43,24
758,48,24
439,18,9
583,21,14
1519,26,16
528,20,7
343,36,20
1737,38,23
368,36,22
186,37,25
1117,27,19
1755,30,17
1426,37,18
301,41,24
1904,30,19
833,32,17
544,17,13
1601,34,19
351,32,18
1933,26,13
1511,19,6
979,37,23
176,36,24
483,31,21
1413,24,16
1611,45,24
124,31,18
600,19,10
1795,26,15
1746,27,12
1379,27,18
1186,45,28
486,33,19
332,22,17
789,29,15
195,38,20
638,27,19
472,14,8
1714,43,21
323,36,19
1197,29,22
267,25,10
1544,37,23
1804,32,16
68,36,19
1738,34,19
1593,28,17
1564,35,18
481,27,19
1757,30,18
1913,27,16
1441,30,16
1461,32,17
888,22,11
423,36,24
1675,30,16
1450,28,19
765,50,24
520,23,11
1432,34,23
614,32,23
1531,26,8
1783,34,19
1659,46,25
454,24,16
731,42,16
535,26,15
966,28,18
1285,26,13
1740,35,24
262,18,11
536,26,13
969,32,18
241,26,13
820,33,23
693,35,20
421,41,24
1086,32,13
1999,26,12
366,40,24
